Domain,Testing Criteria,Test Results,Findings and Observations,Recommendations
Business Continuity Mgmt,"[11.1] Does your organization have a backup program for critical data and systems?
 ",,,
,a) Does your organization have a Disaster Recovery Plan for all critical systems?,,,
,"b) Does the Disaster Recovery plan consider interruption to, and/or failure of, critical systems?",,,
,"c) Are disaster recovery plans updated at least annually?
 ",,,
,d) Has the Disaster Recovery process been tested for all critical systems? ,,,
,e) Do business continuity plans include a disaster recovery plan?,,,
,f) Are business continuity plans tested regularly to ensure that they are up-to-date and effective?,,,
,"g) Does the Business Continuity/Disaster Recovery Program's annual review include the review of critical functions, the organizational structure, and personnel changes?",,,
Incident Mgmt,"[10.1] How does your organization identify, respond to and mitigate suspected or known security incidents?
 ",,,
,"a) During the investigation of a security incident, is evidence properly collected and maintained?
 ",,,
,"b) Are incidents identified, investigated and reported, according to applicable legal requirements?
 ",,,
,c) How are incidents escalated and communicated? ,,,
,d) Is an information security incident response plan defined?,,,
,e) Are recovery plan and incident response procedures evaluated at least annually?,,,
,f) Is a data backup strategy developed for the storage of critical information on a regular basis?,,,
,g) Are effective risk mitigation controls established where necessary?,,,
,h) Are anti-virus definition files regularly updated?,,,
,"[10.2] Is there a history of incidents (theft, crime, environmental, weather) occurring at your organization's facility(ies)?",,,
Logical Access,"[8.1] Does your organization have a formal access authorization policy and procedures for authorizing, granting and removing access based on 'least privilege' (employees are granted the least amount of access possible in order to perform their assigned duties) and 'need to know' (access permissions are granted based upon the legitimate business need of the user to access the information)?
",,,
,"a) Is there a policy to use multi-factor authentication to limit access to sensitive data and systems?
",,,
,"b) Does your organization have a secured audit trail system that logs privileged user access to sensitive data, systems and/or system events, including access to and alterations made to the audit trail system?
",, ,
,"c) Is access to source code restricted, as well as formally and independently reviewed on a frequent basis?",,,
,"d) Are controls in place to prevent users from installing or downloading restricted software onto desktops, laptops, mobile devices and other technology systems?
 ",,,
,e) The identity of individuals who request access to their personal information is authenticated before they are given access to that information.,,,
,[8.2] Are unique user IDs used for granting access?,,,
,[8.3] Do you have a process to review user accounts and related access? ,,,
,c) Is there a documented list of data owners for each system who must approve roles and user access?,,,
,[8.4] Is there a policy for the use and handling of passwords?,,,
,a) Do passwords expire every 90 days or less?,,,
,b) Are passwords required to be complex?,,,
,c) Are temporary passwords required to be changed upon login?,,,
,d) Are passwords stored and transmitted in a secure manner (hashing)?,,,
,e) Is multi-factor authentication required for remote connections?,,,
,[8.5] Do information owners promptly report all changes in user duties or employment status to the Resource Administrator responsible for the User IDs associated with the involved personnel?,,,
,a) Are inactive IDs terminated after up to 120 days of inactivity?,,,
,b) Are controls implemented to detect and alert resource administrators of repeated unauthorized attempts to access sensitive information?,,,
,c) Do all external connections to Company networks or information resources require strong two-factor authentication?,,,
,"d) Does the organization monitor for unauthorized wireless connections to the information system, including scanning for unauthorized wireless access points, in accordance with organization-defined frequency?",,,
,"e) Does the organization issue specially configured mobile devices to individuals traveling to locations that the organization deems to be of significant risk in accordance with organizational policies and procedures, If authorized?",,,
,f) Do you have controls in place ensuring timely notification and removal of systems access which is no longer required for business purposes?,,,
Network Security,[7.1] Do you have a network diagram describing access points into your network?,,,
,"a) Are systems and networks that host, process and/or transfer sensitive information ‘protected’ (isolated or separated) from other systems and networks? 
 ",,,
,"b) Are internal and external networks separated by firewalls with access policies and rules?
 ",, ,
